City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
148,Kanniyakumari,IN,2020-01-04 20:05:31,8.08,77.57,81.34,78,3,12.53,light rain,1.13,0.0
149,Mahebourg,MU,2020-01-04 20:05:31,-20.41,57.7,79.0,94,40,6.85,scattered clouds,0.0,0.0
150,Penzance,GB,2020-01-04 20:05:32,50.12,-5.53,51.01,87,75,4.7,light intensity drizzle,0.0,0.0
151,Antsohihy,MG,2020-01-04 20:05:32,-14.88,47.99,74.84,92,100,1.32,overcast clouds,0.0,0.0
152,Sola,TZ,2020-01-04 20:05:32,-3.17,33.8,65.82,81,1,5.57,clear sky,0.0,0.0
153,Ouesso,CG,2020-01-04 20:05:32,1.61,16.05,75.16,31,74,2.13,broken clouds,0.0,0.0
154,Avarua,CK,2020-01-04 20:03:35,-21.21,-159.78,78.8,88,1,5.82,light rain,0.0,0.0
155,Kaele,CM,2020-01-04 20:05:33,10.11,14.45,69.24,22,0,10.58,clear sky,0.0,0.0
156,Puerto Lleras,CO,2020-01-04 20:05:33,8.16,-72.46,87.8,52,20,16.11,few clouds,0.0,0.0
157,Broken Hill,AU,2020-01-04 20:05:34,-31.97,141.45,68.0,37,41,24.16,scattered clouds,0.0,0.0
158,Kokologo,BF,2020-01-04 20:05:34,12.19,-1.88,75.2,21,94,6.93,overcast clouds,0.0,0.0
159,Ostrovnoy,RU,2020-01-04 20:05:35,68.05,39.51,24.31,86,100,25.72,light snow,0.0,0.63
160,Katsuura,JP,2020-01-04 20:05:35,33.93,134.5,46.4,61,75,13.87,broken clouds,0.0,0.0
161,Cockburn Town,TC,2020-01-04 20:05:35,21.46,-71.14,80.6,69,40,11.41,scattered clouds,0.0,0.0
162,Chuy,UY,2020-01-04 20:05:36,-33.69,-53.46,74.25,64,13,12.35,few clouds,0.0,0.0
163,Zaraza,VE,2020-01-04 20:05:36,9.35,-65.33,86.68,45,0,5.91,clear sky,0.0,0.0
164,Castro,CL,2020-01-04 20:05:36,-42.48,-73.76,64.4,55,0,10.29,clear sky,0.0,0.0
165,Saint George,GR,2020-01-04 20:05:36,39.45,22.34,44.01,64,100,5.82,overcast clouds,0.0,0.0
166,Yumen,CN,2020-01-04 20:05:37,40.29,97.04,17.22,63,100,4.25,overcast clouds,0.0,0.0
167,Santiago Del Estero,AR,2020-01-04 20:05:37,-27.8,-64.26,94.66,22,0,6.64,clear sky,0.0,0.0
168,Stolin,BY,2020-01-04 20:05:37,51.89,26.85,33.55,91,100,10.11,overcast clouds,0.0,0.0
169,Rio Gallegos,AR,2020-01-04 20:04:04,-51.62,-69.22,62.6,52,40,20.8,scattered clouds,0.0,0.0
170,Bacabal,BR,2020-01-04 20:05:38,-4.23,-44.78,73.38,96,100,2.57,light rain,1.19,0.0
171,Tura,RU,2020-01-04 20:05:38,64.27,100.22,1.31,94,100,6.6,light snow,0.0,0.25
172,Bathsheba,BB,2020-01-04 20:05:38,13.22,-59.52,82.4,65,40,16.11,shower rain,0.0,0.0
173,Bima,ID,2020-01-04 20:05:38,-8.45,118.73,72.27,95,100,1.41,light rain,0.88,0.0
174,Taltal,CL,2020-01-04 20:05:39,-25.41,-70.49,64.49,71,0,5.93,clear sky,0.0,0.0
175,Channel-Port Aux Basques,CA,2020-01-04 20:05:39,47.57,-59.14,30.6,91,84,14.85,broken clouds,0.0,0.0
176,Cartagena,ES,2020-01-04 20:05:39,37.63,-1.0,51.01,100,1,6.93,clear sky,0.0,0.0
177,Nelson Bay,AU,2020-01-04 20:05:39,-32.72,152.14,73.4,56,90,14.99,overcast clouds,0.0,0.0
178,Nuzvid,IN,2020-01-04 20:05:39,16.79,80.85,69.69,97,18,5.61,light rain,0.13,0.0
179,Atar,MR,2020-01-04 20:05:40,20.52,-13.05,59.94,20,0,12.28,clear sky,0.0,0.0
180,Igrim,RU,2020-01-04 20:05:40,63.19,64.42,28.44,86,31,12.28,scattered clouds,0.0,0.0
181,Nianzishan,CN,2020-01-04 20:05:40,47.51,122.88,10.54,72,100,4.32,overcast clouds,0.0,0.0
182,Mount Isa,AU,2020-01-04 20:05:40,-20.73,139.49,77.0,69,98,7.65,overcast clouds,0.0,0.0
183,Zelenoborskiy,RU,2020-01-04 20:05:41,66.84,32.36,16.48,82,48,11.27,scattered clouds,0.0,0.0
184,Saurimo,AO,2020-01-04 20:05:41,-9.66,20.4,66.15,97,100,2.08,light rain,0.25,0.0
185,Monrovia,LR,2020-01-04 20:05:41,6.33,-10.8,75.2,83,20,7.07,mist,0.0,0.0
186,Dakar,SN,2020-01-04 20:04:20,14.69,-17.45,75.2,38,5,11.41,dust,0.0,0.0
187,Harnosand,SE,2020-01-04 20:05:41,62.63,17.94,33.01,58,0,17.22,clear sky,0.0,0.0
188,Alofi,NU,2020-01-04 20:05:42,-19.06,-169.92,80.6,83,0,8.05,clear sky,0.0,0.0
189,Mount Gambier,AU,2020-01-04 20:05:42,-37.83,140.78,53.6,71,90,8.05,overcast clouds,0.0,0.0
190,Namtsy,RU,2020-01-04 20:05:42,62.72,129.66,-29.2,66,100,4.47,light snow,0.0,0.0
191,Kailua,US,2020-01-04 20:05:42,21.39,-157.74,75.2,88,90,23.04,moderate rain,0.0,0.0
192,Te Anau,NZ,2020-01-04 20:05:43,-45.41,167.72,47.88,82,100,8.14,moderate rain,5.81,0.0
193,Saldanha,PT,2020-01-04 20:05:43,41.42,-6.55,38.01,86,0,4.61,clear sky,0.0,0.0
194,Gawler,AU,2020-01-04 20:05:43,-34.6,138.75,55.99,87,90,8.05,light rain,0.0,0.0
195,Markova,RU,2020-01-04 20:05:43,52.21,104.21,6.8,92,90,2.24,fog,0.0,0.0
196,Naliya,IN,2020-01-04 20:05:43,23.26,68.83,61.03,48,0,3.87,clear sky,0.0,0.0
197,Sorong,ID,2020-01-04 20:05:44,-0.86,131.25,72.54,97,100,1.63,light rain,0.13,0.0
198,Launceston,AU,2020-01-04 20:05:44,-41.43,147.14,54.0,57,75,4.7,broken clouds,0.0,0.0
199,Belorechensk,RU,2020-01-04 20:05:44,44.77,39.87,23.0,92,0,2.75,mist,0.0,0.0
