City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Marfino,RU,2020-01-02 19:33:18,56.07,37.56,37.0,95,90,11.18
200,Norman Wells,CA,2020-01-02 19:33:19,65.28,-126.83,-4.0,76,90,13.87
201,Alofi,NU,2020-01-02 19:32:21,-19.06,-169.92,76.87,69,0,10.07
202,Port Elizabeth,US,2020-01-02 19:33:19,39.31,-74.98,54.0,53,1,10.29
203,Kanigoro,ID,2020-01-02 19:33:19,-8.13,112.22,73.4,88,33,1.99
204,Muros,ES,2020-01-02 19:33:20,42.77,-9.06,55.99,87,90,9.17
205,Gazojak,TM,2020-01-02 19:33:20,41.19,61.4,39.65,65,62,5.44
206,Xining,CN,2020-01-02 19:29:03,36.62,101.77,16.68,84,40,0.6
207,Ancud,CL,2020-01-02 19:33:21,-41.87,-73.83,75.2,57,0,8.05
208,Xingyi,CN,2020-01-02 19:33:21,24.19,102.82,50.13,97,88,3.76
209,Puerto Ayora,EC,2020-01-02 19:32:23,-0.74,-90.35,82.4,65,75,11.41
210,Kinablangan,PH,2020-01-02 19:33:21,7.69,126.55,71.83,94,100,4.52
211,Kamenka,MD,2020-01-02 19:33:22,48.03,28.7,28.0,87,95,7.67
212,Huasahuasi,PE,2020-01-02 19:33:22,-11.27,-75.65,49.33,79,95,9.28
213,Foki,RU,2020-01-02 19:33:22,56.69,54.35,-0.22,98,66,5.23
214,Saskylakh,RU,2020-01-02 19:33:22,71.97,114.09,-17.03,91,11,8.08
215,Urengoy,RU,2020-01-02 19:33:23,65.96,78.37,-4.58,94,100,8.37
216,Husavik,CA,2020-01-02 19:33:23,50.56,-96.99,18.0,91,73,3.0
217,Wattegama,LK,2020-01-02 19:33:23,7.35,80.68,70.09,96,0,2.51
218,Qasigiannguit,GL,2020-01-02 19:33:23,68.82,-51.19,8.6,78,75,20.8
219,Narsaq,GL,2020-01-02 19:33:24,60.91,-46.05,15.8,56,75,2.24
220,Atar,MR,2020-01-02 19:33:24,20.52,-13.05,59.34,14,100,11.65
221,Pisco,PE,2020-01-02 19:32:22,-13.71,-76.2,75.0,30,20,11.41
222,San Jeronimo,PE,2020-01-02 19:33:24,-13.65,-73.37,37.4,100,90,13.87
223,Victoria,BN,2020-01-02 19:33:25,5.28,115.24,80.6,83,75,3.36
